Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2019,Whitman,WA,Passenger,29,45,74,22699,22773,0.32
March 31 2021,Charleston,SC,Passenger,2,0,2,91,93,2.15
March 31 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
March 31 2020,Clark,WA,Truck,0,0,0,82025,82025,0.00
February 28 2018,Spokane,WA,Truck,1,0,1,91708,91709,0.00
July 31 2022,Skagit,WA,Passenger,812,345,1157,89740,90897,1.27
March 31 2022,San Juan,WA,Passenger,492,152,644,14118,14762,4.36
October 31 2017,Tarrant,TX,Passenger,1,0,1,227,228,0.44
September 30 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
December 31 2020,Whitman,WA,Passenger,51,44,95,21886,21981,0.43
October 31 2019,Virginia Beach,VA,Passenger,1,0,1,696,697,0.14
April 30 2020,Alexandria,VA,Passenger,1,0,1,137,138,0.72
December 31 2019,Calvert,MD,Passenger,0,2,2,90,92,2.17
October 31 2022,Geary,KS,Passenger,1,0,1,77,78,1.28
September 30 2023,Yolo,CA,Passenger,1,0,1,20,21,4.76
September 30 2022,Cowlitz,WA,Truck,3,0,3,28437,28440,0.01
July 31 2019,Clark,NV,Passenger,5,2,7,704,711,0.98
January 31 2020,Jefferson,CO,Passenger,0,2,2,55,57,3.51
January 31 2020,Dakota,MN,Passenger,0,1,1,31,32,3.12
December 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
May 31 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
January 31 2020,Whitman,WA,Passenger,42,48,90,22650,22740,0.40
September 30 2017,Grant,WA,Passenger,20,33,53,61453,61506,0.09
July 31 2023,El Paso,CO,Passenger,3,1,4,498,502,0.80
September 30 2019,District of Columbia,DC,Passenger,1,1,2,206,208,0.96
June 30 2021,Chelan,WA,Truck,0,0,0,23113,23113,0.00
September 30 2020,Walla Walla,WA,Truck,0,0,0,13789,13789,0.00
July 31 2023,Hardin,KY,Passenger,1,0,1,57,58,1.72
March 31 2021,Anchorage,AK,Passenger,1,0,1,150,151,0.66
October 31 2019,Santa Cruz,CA,Passenger,1,0,1,39,40,2.50
November 30 2023,Washtenaw,MI,Passenger,0,2,2,16,18,11.11
January 31 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
November 30 2022,Kootenai,ID,Passenger,0,1,1,147,148,0.68
February 28 2017,Skamania,WA,Truck,0,0,0,3888,3888,0.00
February 28 2017,Collin,TX,Passenger,0,1,1,152,153,0.65
August 31 2019,Wahkiakum,WA,Truck,0,0,0,1762,1762,0.00
December 31 2018,Ramsey,MN,Passenger,1,0,1,41,42,2.38
June 30 2021,Frederick,MD,Passenger,1,1,2,67,69,2.90
April 30 2024,Carroll,MD,Passenger,0,1,1,10,11,9.09
March 31 2019,Snohomish,WA,Passenger,3195,1519,4714,527861,532575,0.89
September 30 2017,Lewis,WA,Passenger,53,40,93,56021,56114,0.17
April 30 2022,Tarrant,TX,Passenger,3,0,3,137,140,2.14
January 31 2021,Nassau,NY,Passenger,4,0,4,34,38,10.53
August 31 2022,Garfield,WA,Truck,0,0,0,973,973,0.00
July 31 2023,Boulder,CO,Passenger,2,0,2,33,35,5.71
June 30 2019,King,WA,Truck,5,1,6,182037,182043,0.00
December 31 2017,Riverside,CA,Passenger,1,2,3,743,746,0.40
March 31 2019,Santa Fe,NM,Passenger,0,1,1,40,41,2.44
December 31 2023,DeKalb,GA,Passenger,2,0,2,32,34,5.88
September 30 2018,Chelan,WA,Truck,0,0,0,22024,22024,0.00
January 31 2022,Pacific,WA,Truck,0,0,0,8020,8020,0.00
May 31 2017,District of Columbia,DC,Passenger,0,3,3,219,222,1.35
December 31 2021,Klamath,OR,Passenger,1,0,1,31,32,3.12
December 31 2021,Dorchester,SC,Passenger,1,0,1,74,75,1.33
September 30 2018,DeKalb,GA,Passenger,1,0,1,80,81,1.23
May 31 2018,Dakota,MN,Passenger,0,2,2,38,40,5.00
February 28 2017,Yakima,WA,Passenger,36,50,86,159117,159203,0.05
February 28 2021,Pend Oreille,WA,Passenger,12,4,16,9188,9204,0.17
July 31 2022,Ray,MO,Passenger,0,1,1,1,2,50.00
June 30 2019,Adams,WA,Passenger,5,6,11,12752,12763,0.09
October 31 2018,Mason,WA,Truck,0,0,0,20166,20166,0.00
February 28 2021,Riverside,CA,Passenger,4,1,5,599,604,0.83
February 28 2022,Miami-Dade,FL,Passenger,1,0,1,93,94,1.06
September 30 2021,Hudson,NJ,Passenger,1,0,1,43,44,2.27
July 31 2022,Ulster,NY,Passenger,1,0,1,12,13,7.69
September 30 2017,Kitsap,WA,Truck,1,0,1,52605,52606,0.00
August 31 2021,Snohomish,WA,Truck,1,0,1,125968,125969,0.00
June 30 2020,Kittitas,WA,Passenger,99,47,146,29802,29948,0.49
July 31 2021,Clackamas,OR,Passenger,2,0,2,182,184,1.09
December 31 2021,Shelby,OH,Passenger,0,1,1,3,4,25.00
December 31 2017,Franklin,WA,Passenger,30,50,80,56858,56938,0.14
February 28 2019,Adams,WA,Truck,0,0,0,5107,5107,0.00
March 31 2024,Collin,TX,Passenger,2,0,2,33,35,5.71
June 30 2022,Chesapeake,VA,Passenger,2,2,4,363,367,1.09
June 30 2021,DeKalb,GA,Passenger,1,0,1,61,62,1.61
February 28 2023,Beaufort,SC,Passenger,1,0,1,30,31,3.23
March 31 2023,Hillsborough,FL,Passenger,1,2,3,122,125,2.40
July 31 2023,Harford,MD,Passenger,1,1,2,40,42,4.76
February 28 2023,Lincoln,WA,Truck,0,0,0,4839,4839,0.00
April 30 2021,Howard,MD,Passenger,0,1,1,72,73,1.37
January 31 2019,Frederick,MD,Passenger,0,1,1,80,81,1.23
April 30 2024,Sarasota,FL,Passenger,1,0,1,19,20,5.00
February 29 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
July 31 2017,Ferry,WA,Truck,0,0,0,3528,3528,0.00
March 31 2020,Oklahoma,OK,Passenger,0,1,1,135,136,0.74
August 31 2020,Klamath,OR,Passenger,1,0,1,34,35,2.86
December 31 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
January 31 2019,Pacific,WA,Truck,0,0,0,7611,7611,0.00
May 31 2017,Juneau,AK,Passenger,0,1,1,50,51,1.96
November 30 2021,Collin,TX,Passenger,2,0,2,120,122,1.64
May 31 2021,Nueces,TX,Passenger,1,0,1,80,81,1.23
May 31 2017,Salt Lake,UT,Passenger,0,1,1,277,278,0.36
July 31 2022,St. Clair,IL,Passenger,1,0,1,118,119,0.84
July 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,89,90,1.11
June 30 2023,Santa Clara,CA,Passenger,11,3,14,194,208,6.73
April 30 2017,Lane,OR,Passenger,0,1,1,250,251,0.40
August 31 2022,Sonoma,CA,Passenger,1,1,2,86,88,2.27
January 31 2019,Hennepin,MN,Passenger,2,0,2,106,108,1.85
December 31 2020,Maui,HI,Passenger,2,0,2,31,33,6.06
March 31 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
July 31 2020,Cowlitz,WA,Truck,0,0,0,28872,28872,0.00
October 31 2022,Alexandria,VA,Passenger,4,0,4,101,105,3.81
May 31 2022,Prince George's,MD,Passenger,2,1,3,137,140,2.14
February 28 2022,Charleston,SC,Passenger,2,1,3,76,79,3.80
November 30 2021,Skagit,WA,Truck,1,0,1,32784,32785,0.00
May 31 2018,Clark,NV,Passenger,2,2,4,756,760,0.53
November 30 2022,Middlesex,MA,Passenger,2,0,2,81,83,2.41
March 31 2021,Spartanburg,SC,Passenger,0,1,1,54,55,1.82
October 31 2019,Klickitat,WA,Passenger,43,37,80,15661,15741,0.51
May 31 2019,San Francisco,CA,Passenger,2,1,3,111,114,2.63
July 31 2019,Goochland,VA,Passenger,1,1,2,265,267,0.75
March 31 2019,Okanogan,WA,Truck,0,0,0,16438,16438,0.00
January 31 2017,Dale,AL,Passenger,0,1,1,66,67,1.49
September 30 2017,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
October 31 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
February 28 2021,Okanogan,WA,Truck,0,0,0,16619,16619,0.00
April 30 2019,Charles,MD,Passenger,0,1,1,87,88,1.14
January 31 2019,Manatee,FL,Passenger,1,0,1,37,38,2.63
May 31 2018,Hamilton,IN,Passenger,1,0,1,46,47,2.13
May 31 2019,Wilson,TX,Passenger,0,1,1,7,8,12.50
December 31 2021,Allegheny,PA,Passenger,2,1,3,69,72,4.17
April 30 2020,Mason,WA,Passenger,155,133,288,47198,47486,0.61
October 31 2021,Multnomah,OR,Passenger,2,6,8,659,667,1.20
August 31 2019,Suffolk,MA,Passenger,0,1,1,38,39,2.56
July 31 2020,King,WA,Truck,7,1,8,182909,182917,0.00
July 31 2018,Island,WA,Truck,0,0,0,20983,20983,0.00
December 31 2018,Pacific,WA,Truck,0,0,0,7609,7609,0.00
June 30 2018,Maricopa,AZ,Passenger,2,2,4,1642,1646,0.24
January 31 2019,Duval,FL,Passenger,1,2,3,386,389,0.77
April 30 2021,Santa Clara,CA,Passenger,9,2,11,288,299,3.68
May 31 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
January 31 2019,Fairfax,VA,Passenger,4,2,6,808,814,0.74
February 28 2018,El Paso,TX,Passenger,1,0,1,523,524,0.19
April 30 2023,Riverside,CA,Passenger,6,1,7,414,421,1.66
January 31 2023,Orange,CA,Passenger,10,3,13,360,373,3.49
June 30 2019,DuPage,IL,Passenger,2,0,2,64,66,3.03
November 30 2018,Hardin,KY,Passenger,0,1,1,107,108,0.93
October 31 2021,Lane,OR,Passenger,0,2,2,123,125,1.60
November 30 2020,Kitsap,WA,Passenger,1520,736,2256,179672,181928,1.24
April 30 2018,Mason,WA,Truck,0,0,0,19801,19801,0.00
May 31 2018,Palm Beach,FL,Passenger,0,2,2,84,86,2.33
January 31 2024,Saratoga,NY,Passenger,1,1,2,27,29,6.90
January 31 2020,Boulder,CO,Passenger,1,1,2,54,56,3.57
January 31 2022,Charleston,SC,Passenger,2,1,3,77,80,3.75
July 31 2022,Kitsap,WA,Passenger,2460,1072,3532,177789,181321,1.95
January 31 2024,San Juan,WA,Passenger,693,202,895,13536,14431,6.20
January 31 2019,Yakima,WA,Truck,0,0,0,58921,58921,0.00
November 30 2020,St. Mary's,MD,Passenger,1,0,1,216,217,0.46
November 30 2017,New Haven,CT,Passenger,0,1,1,54,55,1.82
February 28 2021,Sedgwick,KS,Passenger,1,1,2,92,94,2.13
August 31 2019,Grays Harbor,WA,Truck,0,0,0,20566,20566,0.00
October 31 2019,Cowlitz,WA,Truck,0,0,0,29017,29017,0.00
September 30 2017,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
September 30 2020,Washoe,NV,Passenger,1,0,1,105,106,0.94
December 31 2023,Providence,RI,Passenger,1,0,1,16,17,5.88
July 31 2021,Howard,IN,Passenger,0,1,1,5,6,16.67
May 31 2018,Montgomery,MD,Passenger,1,0,1,290,291,0.34
October 31 2023,Skagit,WA,Truck,31,0,31,31718,31749,0.10
February 28 2023,Lee,FL,Passenger,1,0,1,32,33,3.03
December 31 2023,Charles,MD,Passenger,1,1,2,49,51,3.92
December 31 2023,Monterey,CA,Truck,1,0,1,26,27,3.70
March 31 2019,Valencia,NM,Passenger,1,0,1,11,12,8.33
July 31 2020,Pend Oreille,WA,Passenger,7,5,12,9241,9253,0.13
August 31 2019,Douglas,WA,Passenger,61,36,97,28175,28272,0.34
February 28 2019,Skamania,WA,Truck,0,0,0,3989,3989,0.00
July 31 2023,Leavenworth,KS,Passenger,0,1,1,84,85,1.18
November 30 2023,Marion,OR,Passenger,1,0,1,50,51,1.96
April 30 2024,Yuba,CA,Passenger,1,0,1,43,44,2.27
November 30 2017,Yakima,WA,Passenger,57,73,130,161605,161735,0.08
April 30 2020,Pend Oreille,WA,Passenger,8,6,14,9255,9269,0.15
August 31 2018,Adams,WA,Truck,0,0,0,5173,5173,0.00
October 31 2018,Skagit,WA,Truck,1,0,1,32332,32333,0.00
September 30 2020,Kittitas,WA,Truck,0,0,0,14602,14602,0.00
March 31 2022,Pacific,WA,Truck,0,0,0,8003,8003,0.00
June 30 2018,Orleans,LA,Passenger,0,1,1,48,49,2.04
February 28 2021,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
June 30 2023,Pacific,WA,Passenger,74,92,166,15613,15779,1.05
June 30 2022,Jefferson,NY,Passenger,1,0,1,217,218,0.46
November 30 2019,Orange,CA,Passenger,7,2,9,530,539,1.67
October 31 2018,El Paso,CO,Passenger,3,1,4,768,772,0.52
May 31 2020,Fulton,GA,Passenger,1,3,4,108,112,3.57
December 31 2023,Pulaski,AR,Passenger,2,0,2,18,20,10.00
February 28 2022,Grant,WA,Passenger,142,99,241,66756,66997,0.36
January 31 2018,Franklin,OH,Passenger,0,1,1,109,110,0.91
March 31 2021,Orange,CA,Passenger,4,3,7,471,478,1.46
July 31 2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
May 31 2021,Yakima,WA,Truck,0,0,0,61662,61662,0.00
December 31 2017,Walla Walla,WA,Truck,0,0,0,13293,13293,0.00
May 31 2022,Asotin,WA,Truck,0,0,0,6700,6700,0.00
November 30 2018,Kitsap,WA,Passenger,916,522,1438,180308,181746,0.79
July 31 2020,Garfield,WA,Truck,0,0,0,986,986,0.00
October 31 2020,Ferry,WA,Passenger,8,3,11,4352,4363,0.25
June 30 2018,Duval,FL,Passenger,1,2,3,383,386,0.78
June 30 2018,Maui,HI,Passenger,1,0,1,57,58,1.72
September 30 2023,Cache,UT,Passenger,1,0,1,10,11,9.09
April 30 2019,Pierce,WA,Passenger,1692,1485,3177,540705,543882,0.58
November 30 2017,District of Columbia,DC,Passenger,0,3,3,203,206,1.46
March 31 2018,Hardin,KY,Passenger,0,1,1,112,113,0.88
September 30 2022,Calvert,MD,Passenger,0,2,2,82,84,2.38
June 30 2021,Gwinnett,GA,Passenger,1,0,1,65,66,1.52
July 31 2023,Madison,IL,Passenger,2,0,2,16,18,11.11
June 30 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
September 30 2023,Tooele,UT,Passenger,2,0,2,8,10,20.00
June 30 2023,Spokane,WA,Passenger,2310,1093,3403,322668,326071,1.04
May 31 2020,Island,WA,Passenger,409,271,680,62733,63413,1.07
July 31 2019,Skamania,WA,Truck,0,0,0,4062,4062,0.00
August 31 2017,St. Clair,IL,Passenger,0,1,1,171,172,0.58
January 31 2019,Norfolk,MA,Passenger,1,0,1,36,37,2.70
April 30 2020,Maui,HI,Passenger,2,0,2,38,40,5.00
January 31 2024,Yolo,CA,Passenger,1,0,1,18,19,5.26
May 31 2018,Okanogan,WA,Truck,0,0,0,16410,16410,0.00
June 30 2023,Wahkiakum,WA,Passenger,26,17,43,3032,3075,1.40
January 31 2024,Bartow,GA,Passenger,0,1,1,4,5,20.00
October 31 2022,Okanogan,WA,Passenger,95,49,144,26247,26391,0.55
January 31 2021,Chelan,WA,Passenger,294,87,381,54475,54856,0.69
June 30 2020,El Paso,TX,Passenger,3,0,3,423,426,0.70
July 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
December 31 2021,Anchorage,AK,Passenger,2,0,2,139,141,1.42
February 28 2022,Skagit,WA,Passenger,715,316,1031,90589,91620,1.13
September 30 2022,Benton,WA,Passenger,832,480,1312,135446,136758,0.96
January 31 2020,Portsmouth,VA,Passenger,0,1,1,77,78,1.28
July 31 2018,Columbia,WA,Truck,0,0,0,1530,1530,0.00
June 30 2023,Miami-Dade,FL,Passenger,1,0,1,63,64,1.56
September 30 2018,Madison,ID,Passenger,1,0,1,38,39,2.56
August 31 2023,Lincoln,OR,Passenger,0,1,1,14,15,6.67
October 31 2020,Snohomish,WA,Truck,0,0,0,125302,125302,0.00
February 28 2018,Walla Walla,WA,Truck,0,0,0,13324,13324,0.00
February 29 2024,Chelan,WA,Passenger,785,221,1006,53789,54795,1.84
October 31 2020,Ada,ID,Passenger,0,1,1,268,269,0.37
August 31 2019,Clay,FL,Passenger,0,1,1,86,87,1.15
April 30 2024,Virginia Beach,VA,Passenger,3,2,5,372,377,1.33
December 31 2018,Prince George's,MD,Passenger,1,1,2,188,190,1.05
April 30 2023,Saratoga,NY,Passenger,1,1,2,36,38,5.26
August 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2020,Carroll,MD,Passenger,0,1,1,18,19,5.26
July 31 2019,Thurston,WA,Truck,0,0,0,55252,55252,0.00
July 31 2020,Pacific,WA,Truck,0,0,0,7711,7711,0.00
April 30 2020,Walla Walla,WA,Passenger,69,63,132,35990,36122,0.37
March 31 2022,Jefferson,WA,Truck,0,0,0,9544,9544,0.00
April 30 2021,Riverside,CA,Passenger,5,1,6,586,592,1.01
June 30 2019,Prince William,VA,Passenger,1,4,5,251,256,1.95
May 31 2022,Richland,SC,Passenger,0,2,2,138,140,1.43
August 31 2022,Cumberland,NC,Passenger,1,4,5,363,368,1.36
July 31 2020,Asotin,WA,Truck,0,0,0,6653,6653,0.00
October 31 2020,Spartanburg,SC,Passenger,0,1,1,53,54,1.85
October 31 2023,Brevard,FL,Passenger,1,0,1,55,56,1.79
January 31 2018,Lake,CA,Passenger,0,1,1,9,10,10.00
April 30 2020,Lake,FL,Passenger,1,0,1,23,24,4.17
October 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
January 31 2020,Walla Walla,WA,Passenger,65,61,126,36342,36468,0.35
December 31 2017,Klickitat,WA,Passenger,24,26,50,14902,14952,0.33
October 31 2018,Asotin,WA,Passenger,12,9,21,12709,12730,0.16
January 31 2018,Clallam,WA,Passenger,106,95,201,49286,49487,0.41
February 29 2024,Clark,NV,Passenger,7,2,9,348,357,2.52
February 29 2024,Adams,CO,Passenger,1,0,1,17,18,5.56
May 31 2022,Harford,MD,Passenger,1,1,2,49,51,3.92
November 30 2023,Middlesex,MA,Passenger,2,0,2,70,72,2.78
April 30 2022,Bexar,TX,Passenger,3,4,7,494,501,1.40
April 30 2020,Denton,TX,Passenger,1,0,1,96,97,1.03
June 30 2019,Klamath,OR,Passenger,1,0,1,40,41,2.44
April 30 2019,Grant,WA,Truck,0,0,0,26423,26423,0.00
July 31 2021,Honolulu,HI,Passenger,5,2,7,426,433,1.62
October 31 2023,Cochise,AZ,Passenger,1,0,1,54,55,1.82
August 31 2023,New York,NY,Passenger,1,0,1,33,34,2.94
November 30 2021,Klamath,OR,Passenger,1,0,1,31,32,3.12
September 30 2021,Pierce,WA,Truck,0,0,0,145329,145329,0.00
October 31 2021,Sarpy,NE,Passenger,1,0,1,71,72,1.39
September 30 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
October 31 2017,Shelby,TN,Passenger,0,1,1,106,107,0.93
August 31 2017,DeKalb,GA,Passenger,1,0,1,88,89,1.12
February 28 2018,District of Columbia,DC,Passenger,0,3,3,191,194,1.55
April 30 2019,Sedgwick,KS,Passenger,0,1,1,105,106,0.94
January 31 2024,Frederick,MD,Passenger,2,1,3,47,50,6.00
October 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
February 28 2021,Shelby,OH,Passenger,0,1,1,2,3,33.33
June 30 2019,Wayne,MI,Passenger,0,1,1,67,68,1.47
November 30 2017,Ventura,CA,Passenger,0,1,1,337,338,0.30
May 31 2018,Garfield,WA,Truck,0,0,0,954,954,0.00
December 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
October 31 2021,Yakima,WA,Truck,0,0,0,61652,61652,0.00
January 31 2019,Ferry,WA,Truck,0,0,0,3590,3590,0.00
January 31 2022,Saratoga,NY,Passenger,1,0,1,40,41,2.44
January 31 2019,San Mateo,CA,Passenger,2,1,3,132,135,2.22
May 31 2023,Solano,CA,Passenger,5,0,5,145,150,3.33
February 28 2019,Prince William,VA,Passenger,0,5,5,256,261,1.92
December 31 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
February 29 2024,Wahkiakum,WA,Passenger,34,23,57,3041,3098,1.84
September 30 2023,Broward,FL,Passenger,1,0,1,55,56,1.79
July 31 2019,Pend Oreille,WA,Passenger,4,6,10,9533,9543,0.10
November 30 2018,Alameda,CA,Passenger,0,2,2,336,338,0.59
April 30 2023,Columbia,WA,Truck,0,0,0,1555,1555,0.00
November 30 2023,Suffolk,VA,Passenger,1,0,1,96,97,1.03
March 31 2020,Cascade,MT,Passenger,0,1,1,61,62,1.61
May 31 2019,Spokane,WA,Truck,1,0,1,94589,94590,0.00
September 30 2019,Okanogan,WA,Truck,0,0,0,16493,16493,0.00
May 31 2022,Snohomish,WA,Passenger,8136,2472,10608,532585,543193,1.95
September 30 2023,Skamania,WA,Truck,1,0,1,3812,3813,0.03
April 30 2019,Snohomish,WA,Passenger,3292,1539,4831,529031,533862,0.90
September 30 2022,Pend Oreille,WA,Passenger,18,12,30,9005,9035,0.33
May 31 2020,Pima,AZ,Passenger,3,1,4,367,371,1.08
March 31 2024,Cook,IL,Passenger,2,1,3,125,128,2.34
December 31 2021,Lane,OR,Passenger,0,2,2,117,119,1.68
December 31 2022,Ulster,NY,Passenger,1,0,1,8,9,11.11
February 28 2022,Spokane,WA,Passenger,1388,784,2172,325832,328004,0.66
November 30 2017,Douglas,WA,Passenger,37,33,70,27076,27146,0.26
November 30 2018,Skamania,WA,Passenger,18,14,32,8726,8758,0.37
January 31 2023,Wahkiakum,WA,Truck,1,0,1,1792,1793,0.06
March 31 2020,Harnett,NC,Passenger,1,1,2,216,218,0.92
November 30 2022,Richmond,NY,Passenger,1,0,1,4,5,20.00
May 31 2023,Cochise,AZ,Passenger,1,0,1,65,66,1.52
February 28 2023,Portsmouth,VA,Passenger,0,1,1,67,68,1.47
May 31 2020,Pinal,AZ,Passenger,1,0,1,194,195,0.51
July 31 2023,Travis,TX,Passenger,2,1,3,91,94,3.19
April 30 2020,Shelby,TN,Passenger,0,1,1,96,97,1.03
July 31 2021,Charles,MD,Passenger,1,1,2,73,75,2.67
December 31 2018,Monroe,IL,Passenger,1,0,1,3,4,25.00
May 31 2021,Skagit,WA,Truck,1,0,1,33038,33039,0.00
December 31 2022,Douglas,WA,Truck,3,0,3,12815,12818,0.02
December 31 2022,Clark,NV,Passenger,9,2,11,478,489,2.25
October 31 2022,Virginia Beach,VA,Passenger,2,1,3,496,499,0.60
February 28 2023,Los Angeles,CA,Passenger,5,5,10,725,735,1.36
June 30 2021,Kootenai,ID,Passenger,0,1,1,198,199,0.50
May 31 2019,Hennepin,MN,Passenger,2,0,2,104,106,1.89
March 31 2021,Howard,MD,Passenger,0,1,1,72,73,1.37
September 30 2021,Palm Beach,FL,Passenger,0,1,1,70,71,1.41
August 31 2022,Travis,TX,Passenger,3,1,4,110,114,3.51
September 30 2018,Charles,MD,Passenger,0,1,1,86,87,1.15
July 31 2019,El Paso,TX,Passenger,3,0,3,482,485,0.62
January 31 2022,Walla Walla,WA,Truck,0,0,0,14102,14102,0.00
April 30 2019,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
August 31 2022,Norfolk,VA,Passenger,2,3,5,292,297,1.68
July 31 2023,Newport,RI,Passenger,0,1,1,55,56,1.79
April 30 2017,King,WA,Truck,8,1,9,188917,188926,0.00
August 31 2018,Whatcom,WA,Truck,2,0,2,42394,42396,0.00
February 29 2020,Shasta,CA,Passenger,1,0,1,38,39,2.56
April 30 2019,Pend Oreille,WA,Passenger,4,5,9,9502,9511,0.09
June 30 2022,Lincoln,WA,Truck,0,0,0,4831,4831,0.00
July 31 2023,Meade,KY,Passenger,1,0,1,19,20,5.00
January 31 2022,Montgomery,PA,Passenger,2,0,2,25,27,7.41
January 31 2023,Lake,FL,Passenger,1,0,1,18,19,5.26
April 30 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
May 31 2021,Eagle,CO,Passenger,1,0,1,8,9,11.11
June 30 2017,Latah,ID,Passenger,0,1,1,106,107,0.93
February 28 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
September 30 2021,Eagle,CO,Passenger,1,0,1,8,9,11.11
June 30 2021,Douglas,WA,Truck,0,0,0,12681,12681,0.00
April 30 2017,Polk,FL,Passenger,1,0,1,69,70,1.43
November 30 2019,Hillsborough,FL,Passenger,0,1,1,196,197,0.51
June 30 2022,Anchorage,AK,Passenger,2,0,2,135,137,1.46
August 31 2022,Calvert,MD,Passenger,0,2,2,79,81,2.47
June 30 2022,Parker,TX,Passenger,0,1,1,21,22,4.55
April 30 2021,Broward,FL,Passenger,1,0,1,110,111,0.90
December 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
May 31 2018,King,WA,Passenger,12741,5479,18220,1369182,1387402,1.31
November 30 2018,Multnomah,OR,Passenger,3,5,8,769,777,1.03
December 31 2017,New London,CT,Passenger,1,0,1,241,242,0.41
January 31 2023,Sacramento,CA,Passenger,3,1,4,202,206,1.94
October 31 2022,Boulder,CO,Passenger,2,0,2,45,47,4.26
June 30 2023,York,VA,Passenger,1,0,1,74,75,1.33
October 31 2022,Sarasota,FL,Passenger,1,0,1,29,30,3.33
December 31 2021,Marion,IA,Passenger,1,0,1,0,1,100.00
November 30 2018,El Paso,CO,Passenger,3,1,4,777,781,0.51
March 31 2017,Marin,CA,Passenger,1,0,1,59,60,1.67
July 31 2022,Lincoln,WA,Truck,0,0,0,4831,4831,0.00
January 31 2024,Richland,SC,Passenger,0,1,1,93,94,1.06
May 31 2019,Cascade,MT,Passenger,0,1,1,64,65,1.54
September 30 2019,Clallam,WA,Passenger,185,151,336,50848,51184,0.66
August 31 2020,Pacific,WA,Passenger,32,33,65,15702,15767,0.41
July 31 2023,Honolulu,HI,Passenger,3,3,6,284,290,2.07
May 31 2021,Garfield,WA,Truck,0,0,0,997,997,0.00
March 31 2022,Plaquemines,LA,Passenger,0,1,1,20,21,4.76
August 31 2020,Okanogan,WA,Truck,0,0,0,16536,16536,0.00
June 30 2020,Walla Walla,WA,Truck,0,0,0,13745,13745,0.00
November 30 2022,Yakima,WA,Passenger,411,218,629,166346,166975,0.38
December 31 2017,Island,WA,Passenger,155,166,321,61542,61863,0.52
June 30 2020,Grays Harbor,WA,Passenger,106,111,217,48129,48346,0.45
June 30 2021,Houston,GA,Passenger,1,0,1,48,49,2.04
May 31 2017,New London,CT,Passenger,1,0,1,246,247,0.40
April 30 2021,Fulton,GA,Passenger,0,2,2,89,91,2.20
March 31 2020,Kittitas,WA,Truck,0,0,0,14624,14624,0.00
December 31 2020,Pinellas,FL,Passenger,1,1,2,104,106,1.89
July 31 2021,Allegheny,PA,Passenger,2,1,3,75,78,3.85
December 31 2022,Alexandria,VA,Passenger,3,1,4,97,101,3.96
February 29 2020,Lincoln,WA,Truck,0,0,0,4656,4656,0.00
January 31 2022,Juneau,AK,Passenger,0,1,1,31,32,3.12
March 31 2020,Greene,MO,Passenger,0,1,1,33,34,2.94
March 31 2019,Walla Walla,WA,Truck,0,0,0,13553,13553,0.00
September 30 2017,Okanogan,WA,Truck,0,0,0,16232,16232,0.00
April 30 2023,Cowlitz,WA,Passenger,435,204,639,69992,70631,0.90
October 31 2018,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
November 30 2021,Flathead,MT,Passenger,1,0,1,50,51,1.96
March 31 2023,Sedgwick,KS,Passenger,1,1,2,63,65,3.08
June 30 2019,Cascade,MT,Passenger,0,1,1,67,68,1.47
February 28 2019,Skagit,WA,Passenger,278,187,465,91205,91670,0.51
February 28 2022,Columbia,WA,Passenger,6,1,7,2454,2461,0.28
November 30 2017,San Diego,CA,Passenger,5,1,6,2593,2599,0.23
March 31 2019,Klamath,OR,Passenger,1,0,1,40,41,2.44
