Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2022,El Paso,CO,Passenger,2,2,4,615,619,0.65
June 30 2019,Duval,FL,Passenger,1,2,3,379,382,0.79
August 31 2020,Washtenaw,MI,Passenger,1,1,2,36,38,5.26
February 29 2020,Hawaii,HI,Passenger,1,0,1,64,65,1.54
November 30 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
April 30 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
December 31 2019,Whatcom,WA,Passenger,988,477,1465,151649,153114,0.96
January 31 2019,Prince William,VA,Passenger,0,5,5,257,262,1.91
January 31 2024,Pitt,NC,Passenger,0,1,1,4,5,20.00
April 30 2023,Pierce,WA,Truck,140,0,140,137672,137812,0.10
August 31 2023,San Juan,WA,Passenger,644,175,819,13756,14575,5.62
December 31 2022,Newport News,VA,Passenger,1,0,1,104,105,0.95
December 31 2019,Shasta,CA,Passenger,1,0,1,39,40,2.50
September 30 2020,Bucks,PA,Passenger,1,0,1,22,23,4.35
November 30 2020,Columbia,WA,Passenger,4,3,7,2438,2445,0.29
May 31 2020,San Joaquin,CA,Passenger,1,0,1,133,134,0.75
November 30 2021,Moore,NC,Passenger,0,1,1,125,126,0.79
February 28 2019,Polk,FL,Passenger,1,0,1,69,70,1.43
July 31 2023,Portsmouth,VA,Passenger,0,1,1,64,65,1.54
August 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
May 31 2022,Whatcom,WA,Passenger,1800,729,2529,148772,151301,1.67
December 31 2017,Flathead,MT,Passenger,1,0,1,58,59,1.69
December 31 2023,Pima,AZ,Passenger,1,0,1,162,163,0.61
June 30 2021,Goochland,VA,Passenger,4,2,6,240,246,2.44
September 30 2020,Kootenai,ID,Passenger,1,1,2,221,223,0.90
April 30 2019,Mason,WA,Passenger,117,116,233,46856,47089,0.49
February 28 2022,Asotin,WA,Passenger,22,18,40,12625,12665,0.32
January 31 2022,Riverside,CA,Passenger,5,1,6,521,527,1.14
February 29 2024,Asotin,WA,Truck,2,0,2,6552,6554,0.03
December 31 2023,Jefferson,WA,Truck,18,0,18,9216,9234,0.19
September 30 2019,Tulsa,OK,Passenger,1,1,2,56,58,3.45
